2018-07-03T04:50:13.513Z - info: Pages built
2018-07-03T06:26:48.887Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\specifyingRequirements\userStories\usage\tools.md
2018-07-03T06:26:48.888Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\specifyingRequirements\useCases\index.md
2018-07-03T06:26:48.888Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\requirements\nonFunctionalRequirements\text.md
2018-07-03T06:26:48.888Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\requirements\path.md
2018-07-03T06:26:48.888Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\specifyingRequirements\glossary\what\text.md
2018-07-03T06:26:48.888Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\specifyingRequirements\glossary\path.md
2018-07-03T06:26:48.888Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\gatheringRequirements\productSurveys\text.md
2018-07-03T06:26:48.888Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\revisionControl\forkingWorkflow\text.md
2018-07-03T06:26:48.889Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\index.md
2018-07-03T06:26:48.889Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\_markbind\boilerplates\container-inPage-asFlat.md
2018-07-03T06:26:48.889Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\introduction\text.md
2018-07-03T06:26:48.889Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\introduction\basic\text.md
2018-07-03T06:26:48.889Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\maximiseReadability\text.md
2018-07-03T06:26:48.889Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\maximiseReadability\introduction\text.md
2018-07-03T06:26:48.889Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\maximiseReadability\basic\text.md
2018-07-03T06:26:48.889Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\maximiseReadability\basic\avoidLongMethods\text.md
2018-07-03T06:26:48.890Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\maximiseReadability\basic\avoidDeepNesting\text.md
2018-07-03T06:26:48.890Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\maximiseReadability\basic\avoidComplicatedExpressions\text.md
2018-07-03T06:26:48.890Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\maximiseReadability\basic\avoidMagicNumbers\text.md
2018-07-03T06:26:48.890Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\maximiseReadability\basic\makeCodeObvious\text.md
2018-07-03T06:26:48.890Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\maximiseReadability\intermediate\text.md
2018-07-03T06:26:48.890Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\maximiseReadability\intermediate\structureCodeLogically\text.md
2018-07-03T06:26:48.890Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\maximiseReadability\intermediate\dontTripReader\text.md
2018-07-03T06:26:48.890Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\maximiseReadability\intermediate\practiceKISSing\text.md
2018-07-03T06:26:48.891Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\maximiseReadability\intermediate\avoidPrematureOptimizations\text.md
2018-07-03T06:26:48.891Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\maximiseReadability\intermediate\slapHard\text.md
2018-07-03T06:26:48.891Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\designFundamentals\abstraction\what\text.md
2018-07-03T06:26:48.891Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\designFundamentals\abstraction\path.md
2018-07-03T06:26:48.891Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\maximiseReadability\advanced\text.md
2018-07-03T06:26:48.891Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\maximiseReadability\advanced\makeHappyPathProminent\text.md
2018-07-03T06:26:48.891Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\followStandard\text.md
2018-07-03T06:26:48.891Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\followStandard\introduction\text.md
2018-07-03T06:26:48.891Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\followStandard\basic\text.md
2018-07-03T06:26:48.892Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\followStandard\intermediate\text.md
2018-07-03T06:26:48.892Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\nameWell\text.md
2018-07-03T06:26:48.892Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\nameWell\introduction\text.md
2018-07-03T06:26:48.892Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\nameWell\basic\text.md
2018-07-03T06:26:48.892Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\nameWell\basic\nounsAndVerbsAsNames\text.md
2018-07-03T06:26:48.892Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\nameWell\basic\useStandardWords\text.md
2018-07-03T06:26:48.892Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\nameWell\intermediate\text.md
2018-07-03T06:26:48.892Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\nameWell\intermediate\useNameExplain\text.md
2018-07-03T06:26:48.893Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\nameWell\intermediate\notTooLongNorShort\text.md
2018-07-03T06:26:48.893Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\nameWell\intermediate\avoidMisleadingNames\text.md
